MOTOR,CONTROLLER,SET_POINT,OMEGA_MAX,K,TAU,FORWARD_KP,BACK_KP,FORWARD_ANG_COEF,FORWARD_LIN_COEF,BACK_ANG_COEF,BACK_LIN_COEF,TIME,OMEGA_RAW,OMEGA_FILTERED,OMEGA_PREDICTED,K_GAIN,PREDIC_ERR,MEASURE_ERR
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,4e-06,0,0,0,0,0,0
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.00114,0,0,0,0,0,0
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.00319,0,0,0,0,0,0
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.00514,0,0,0,0,0,0
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.00714,0,0,0,0,0,0
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.00914,0,0,0,0,0,0
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.01114,0,0,0,0,0,0
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.01319,0,0,0,0,0,0
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.01514,0,0,0,0,0,0
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.01714,0,0,0,0,0,0
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.01914,195.282,9.29912,0,0.047619,57.1429,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.02114,195.282,9.29912,0,0.047619,57.1429,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.02319,334.942,141.404,132.188,0.0454545,54.5455,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.02514,334.942,141.404,132.188,0.0454545,54.5455,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.02714,334.942,141.404,132.188,0.0454545,54.5455,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.02914,453.43,334.302,329.123,0.0416667,50,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.03114,453.43,334.302,329.123,0.0416667,50,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.03319,515.607,476.657,475.099,0.0384615,46.1538,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.03514,515.607,476.657,475.099,0.0384615,46.1538,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.03714,515.607,476.657,475.099,0.0384615,46.1538,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.03914,586.665,586.772,586.776,0.0357143,42.8571,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.04114,586.665,586.772,586.776,0.0357143,42.8571,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.04319,679.116,752.954,755.336,0.03125,37.5,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.04514,679.116,752.954,755.336,0.03125,37.5,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.04714,679.116,752.954,755.336,0.03125,37.5,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.04914,761.598,848.01,850.551,0.0285714,34.2857,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.05114,761.598,848.01,850.551,0.0285714,34.2857,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.05319,794.837,926.464,930.021,0.0263158,31.5789,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.05514,794.837,926.464,930.021,0.0263158,31.5789,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.05714,794.837,926.464,930.021,0.0263158,31.5789,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.05914,865.453,1032.2,1036.17,0.0232558,27.907,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.06114,865.453,1032.2,1036.17,0.0232558,27.907,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.06319,954.601,1101.22,1104.41,0.0212766,25.5319,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.06514,954.601,1101.22,1104.41,0.0212766,25.5319,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.06714,954.601,1101.22,1104.41,0.0212766,25.5319,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.06914,995.435,1173.33,1176.82,0.0192308,23.0769,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.07114,995.435,1173.33,1176.82,0.0192308,23.0769,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.07319,1020.66,1222.39,1226.06,0.0178571,21.4286,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.07514,1020.66,1222.39,1226.06,0.0178571,21.4286,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.07714,1020.66,1222.39,1226.06,0.0178571,21.4286,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.07914,1072.4,1285.67,1289.17,0.016129,19.3548,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.08114,1072.4,1285.67,1289.17,0.016129,19.3548,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.08319,1108.15,1331.11,1334.49,0.0149254,17.9104,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.08514,1108.15,1331.11,1334.49,0.0149254,17.9104,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.08714,1108.15,1331.11,1334.49,0.0149254,17.9104,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.089154,1175.31,1371,1373.76,0.0138889,16.6667,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.09114,1175.31,1371,1373.76,0.0138889,16.6667,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.09319,1224.08,1413.04,1415.5,0.0128205,15.3846,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.09514,1224.08,1413.04,1415.5,0.0128205,15.3846,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.097139,1224.08,1413.04,1415.5,0.0128205,15.3846,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.09914,1260.92,1449.58,1451.85,0.0119048,14.2857,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.10114,1260.92,1449.58,1451.85,0.0119048,14.2857,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.10319,1288.86,1481.79,1483.96,0.0111111,13.3333,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.10514,1288.86,1481.79,1483.96,0.0111111,13.3333,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.10714,1288.86,1481.79,1483.96,0.0111111,13.3333,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.10914,1318.89,1510.51,1512.53,0.0104167,12.5,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.11114,1318.89,1510.51,1512.53,0.0104167,12.5,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.113213,1344.28,1536.31,1538.22,0.00980392,11.7647,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.11514,1344.28,1536.31,1538.22,0.00980392,11.7647,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.11714,1344.28,1536.31,1538.22,0.00980392,11.7647,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.11914,1321.38,1563.14,1565.38,0.00917431,11.0092,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.12114,1321.38,1563.14,1565.38,0.00917431,11.0092,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.12319,1341.7,1584.01,1586.13,0.00869565,10.4348,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.12514,1341.7,1584.01,1586.13,0.00869565,10.4348,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.12714,1341.7,1584.01,1586.13,0.00869565,10.4348,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.12914,1366.21,1606.33,1608.32,0.00819672,9.83607,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.13114,1366.21,1606.33,1608.32,0.00819672,9.83607,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.13319,1382.44,1623.71,1625.61,0.0078125,9.375,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.13514,1382.44,1623.71,1625.61,0.0078125,9.375,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.13714,1382.44,1623.71,1625.61,0.0078125,9.375,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.13914,1418.97,1642.08,1643.75,0.00740741,8.88889,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.14114,1418.97,1642.08,1643.75,0.00740741,8.88889,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.14319,1436.48,1658.71,1660.28,0.00704225,8.4507,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.14514,1436.48,1658.71,1660.28,0.00704225,8.4507,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.14714,1436.48,1658.71,1660.28,0.00704225,8.4507,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.14914,1487.5,1673.79,1675.05,0.00671141,8.05369,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.15114,1487.5,1673.79,1675.05,0.00671141,8.05369,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.15319,1502.44,1687.48,1688.67,0.00641026,7.69231,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.15514,1502.44,1687.48,1688.67,0.00641026,7.69231,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.157152,1502.44,1687.48,1688.67,0.00641026,7.69231,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.15914,1460.53,1699.41,1700.89,0.00613497,7.36196,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.16114,1460.53,1699.41,1700.89,0.00613497,7.36196,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.163212,1472.85,1710.42,1711.83,0.00588235,7.05882,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.16514,1472.85,1710.42,1711.83,0.00588235,7.05882,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.16714,1472.85,1710.42,1711.83,0.00588235,7.05882,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.16914,1507.84,1722.56,1723.77,0.00561798,6.74157,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.17114,1507.84,1722.56,1723.77,0.00561798,6.74157,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.17319,1516.58,1730.92,1732.09,0.00543478,6.52174,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.17514,1516.58,1730.92,1732.09,0.00543478,6.52174,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.17714,1516.58,1730.92,1732.09,0.00543478,6.52174,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.17914,1562.98,1741.18,1742.11,0.00520833,6.25,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.18114,1562.98,1741.18,1742.11,0.00520833,6.25,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.18319,1514.39,1749.06,1750.24,0.00502513,6.03015,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.18514,1514.39,1749.06,1750.24,0.00502513,6.03015,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.18714,1514.39,1749.06,1750.24,0.00502513,6.03015,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.18914,1522.09,1756.09,1757.23,0.00485437,5.82524,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.19114,1522.09,1756.09,1757.23,0.00485437,5.82524,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.19319,1552.55,1764.15,1765.14,0.0046729,5.60748,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.19514,1552.55,1764.15,1765.14,0.0046729,5.60748,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.19714,1552.55,1764.15,1765.14,0.0046729,5.60748,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.19914,1598.77,1771.76,1772.55,0.0045045,5.40541,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.20114,1598.77,1771.76,1772.55,0.0045045,5.40541,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.20319,1547.96,1777.38,1778.39,0.00436681,5.24017,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.20514,1547.96,1777.38,1778.39,0.00436681,5.24017,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.20714,1547.96,1777.38,1778.39,0.00436681,5.24017,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.20914,1556.01,1782.35,1783.32,0.00423729,5.08475,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.21114,1556.01,1782.35,1783.32,0.00423729,5.08475,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.21319,1583.07,1788.25,1789.1,0.00409836,4.91803,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.21514,1583.07,1788.25,1789.1,0.00409836,4.91803,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.21714,1583.07,1788.25,1789.1,0.00409836,4.91803,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.21914,1624.82,1793.84,1794.51,0.00396825,4.7619,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.22114,1624.82,1793.84,1794.51,0.00396825,4.7619,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.22319,1565.32,1797.92,1798.82,0.003861,4.6332,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.22514,1565.32,1797.92,1798.82,0.003861,4.6332,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.22714,1565.32,1797.92,1798.82,0.003861,4.6332,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.22914,1597.56,1801.95,1802.72,0.00374532,4.49438,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.23114,1597.56,1801.95,1802.72,0.00374532,4.49438,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.23319,1612.31,1805.83,1806.54,0.00364964,4.37956,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.235157,1612.31,1805.83,1806.54,0.00364964,4.37956,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.23714,1612.31,1805.83,1806.54,0.00364964,4.37956,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.23914,1645.24,1809.84,1810.43,0.0035461,4.25532,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.24114,1645.24,1809.84,1810.43,0.0035461,4.25532,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.24319,1589.07,1813.09,1813.86,0.00344828,4.13793,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.24514,1589.07,1813.09,1813.86,0.00344828,4.13793,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.24714,1589.07,1813.09,1813.86,0.00344828,4.13793,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.24914,1613.56,1816.02,1816.71,0.0033557,4.02685,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.25114,1613.56,1816.02,1816.71,0.0033557,4.02685,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.25319,1655.65,1819.54,1820.08,0.00326797,3.92157,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.25514,1655.65,1819.54,1820.08,0.00326797,3.92157,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.25714,1655.65,1819.54,1820.08,0.00326797,3.92157,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.25914,1602.44,1821.95,1822.65,0.00319489,3.83387,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.26114,1602.44,1821.95,1822.65,0.00319489,3.83387,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.263212,1622.3,1824.2,1824.83,0.00311526,3.73832,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.26514,1622.3,1824.2,1824.83,0.00311526,3.73832,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.26714,1622.3,1824.2,1824.83,0.00311526,3.73832,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.26914,1664.86,1826.99,1827.49,0.00303951,3.64742,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.27114,1664.86,1826.99,1827.49,0.00303951,3.64742,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.27319,1666.19,1829.11,1829.59,0.00297619,3.57143,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.27514,1666.19,1829.11,1829.59,0.00297619,3.57143,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.27714,1666.19,1829.11,1829.59,0.00297619,3.57143,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.27914,1618.54,1830.77,1831.39,0.00290698,3.48837,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.28114,1618.54,1830.77,1831.39,0.00290698,3.48837,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.28319,1632.42,1832.52,1833.09,0.00284091,3.40909,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.28514,1632.42,1832.52,1833.09,0.00284091,3.40909,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.28714,1632.42,1832.52,1833.09,0.00284091,3.40909,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.28914,1672.84,1834.82,1835.27,0.00277778,3.33333,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.29114,1672.84,1834.82,1835.27,0.00277778,3.33333,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.29319,1616.05,1836.53,1837.13,0.00271739,3.26087,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.29514,1616.05,1836.53,1837.13,0.00271739,3.26087,1200
1,1,1,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.29714,1616.05,1836.53,1837.13,0.00271739,3.26087,1200
